name,country,birth_date,discipline,age,gender,height_in_m,height_in_feet,birth_place,birth_country,residence_place,residence_country,event_name,event_rank,event_medal
RAHAYU Apriyani,Indonesia,29 Apr 1998,Badminton,23,Female,NA,NA,KONAWE,Indonesia,JAKARTA,Indonesia,Women's Doubles,1,Gold
AALERUD Katrine,Norway,4 Dec 1994,Cycling Road,26,Female,NA,NA,VESTBY,Norway,,,Women's Road Race,37,NA
AALERUD Katrine,Norway,4 Dec 1994,Cycling Road,26,Female,NA,NA,VESTBY,Norway,,,Women's Individual Time Trial,20,NA
ABAD Nestor,Spain,29 Mar 1993,Artistic Gymnastics,28,Male,1.65,5'4'',ALCOI,Spain,MADRID,Spain,Men's All-Around,,NA
ABAD Nestor,Spain,29 Mar 1993,Artistic Gymnastics,28,Male,1.65,5'4'',ALCOI,Spain,MADRID,Spain,Men's Floor Exercise,,NA
ABAD Nestor,Spain,29 Mar 1993,Artistic Gymnastics,28,Male,1.65,5'4'',ALCOI,Spain,MADRID,Spain,Men's Pommel Horse,,NA
ABAD Nestor,Spain,29 Mar 1993,Artistic Gymnastics,28,Male,1.65,5'4'',ALCOI,Spain,MADRID,Spain,Men's Rings,,NA
ABAD Nestor,Spain,29 Mar 1993,Artistic Gymnastics,28,Male,1.65,5'4'',ALCOI,Spain,MADRID,Spain,Men's Vault,,NA
ABAD Nestor,Spain,29 Mar 1993,Artistic Gymnastics,28,Male,1.65,5'4'',ALCOI,Spain,MADRID,Spain,Men's Parallel Bars,,NA
ABAD Nestor,Spain,29 Mar 1993,Artistic Gymnastics,28,Male,1.65,5'4'',ALCOI,Spain,MADRID,Spain,Men's Horizontal Bar,,NA
ABAD Nestor,Spain,29 Mar 1993,Artistic Gymnastics,28,Male,1.65,5'4'',ALCOI,Spain,MADRID,Spain,Men's Team,,NA
ABAGNALE Giovanni,Italy,11 Jan 1995,Rowing,26,Male,1.98,6'5'',GRAGNANO,Italy,SABAUDIA,Italy,Men's Pair,11,NA
ABALDE Alberto,Spain,15 Dec 1995,Basketball,25,Male,2.00,6'6'',FERROL,Spain,,,Men,6,NA
ABALDE Tamara,Spain,6 Feb 1989,Basketball,32,Female,1.92,6'3'',VIGO,Spain,,,Women,6,NA
ABALO Luc,France,6 Sep 1984,Handball,36,Male,1.83,6'0'',IVRY-SUR-SEINE,France,,,Men,1,Gold
ABAROA Cesar,Chile,18 Nov 1996,Rowing,24,Male,1.79,5'10'',CONCEPCION,Chile,VALPARAISO,Chile,Lightweight Men's Double Sculls,14,NA
ABASS Abobakr,Sudan,1 Nov 1998,Swimming,22,Male,NA,NA,,,,,Men's 100m Breaststroke,,NA
ABBAGNALE Vincenzo,Italy,13 Mar 1993,Rowing,28,Male,1.87,6'1'',,,,,Men's Pair,11,NA
ABBASALI Hamideh,Islamic Republic of Iran,14 Mar 1990,Karate,31,Female,NA,NA,RAY,Islamic Republic of Iran,,,Women's Kumite +61kg,7,NA
ABBASOV Islam,Azerbaijan,24 Mar 1996,Wrestling,25,Male,NA,NA,,Azerbaijan,,,Men's Greco-Roman 87kg,13,NA
ABBINGH Lois,Netherlands,13 Aug 1992,Handball,28,Female,1.77,5'9'',GRONINGEN,Netherlands,ROSTOV-NA-DONU,Russian Federation,Women,5,NA
ABBOT Emily,Australia,28 Feb 1997,Rhythmic Gymnastics,24,Female,1.60,5'2'',"ADELAIDE, SA",Australia,"BRISBANE, QLD",Australia,Group All-Around,,NA
ABBOTT Monica,United States of America,28 Jul 1985,Baseball/Softball,36,Female,1.91,6'3'',"SANTA CRUZ, CA",United States of America,"SALINAS, CA",United States of America,Softball,2,Silver
ABDALLA Abubaker Haydar,Qatar,28 Aug 1996,Athletics,24,Male,NA,NA,KHARTUM,Sudan,,,Men's 800m,,NA
ABDALRASOOL Mohamed,Sudan,24 Jul 1993,Judo,28,Male,NA,NA,,,,,Men -73 kg,DNS,NA
ABDEL LATIF Radwa,Egypt,15 Oct 1989,Shooting,31,Female,NA,NA,,,,,10m Air Pistol Women,40,NA
ABDEL LATIF Radwa,Egypt,15 Oct 1989,Shooting,31,Female,NA,NA,,,,,10m Air Pistol Mixed Team,18,NA
ABDEL RAZEK Samy,Egypt,10 Apr 1980,Shooting,41,Male,NA,NA,,Egypt,,,10m Air Pistol Men,31,NA
ABDEL RAZEK Samy,Egypt,10 Apr 1980,Shooting,41,Male,NA,NA,,Egypt,,,10m Air Pistol Mixed Team,18,NA
ABDELAAL Mohamed,Egypt,23 Jul 1990,Judo,31,Male,NA,NA,,,,,Men -81 kg,17,NA
ABDELAZIZ Abdalla,Egypt,29 Mar 1999,Karate,22,Male,NA,NA,,,,,Men's Kumite -75kg,9,NA
ABDELAZIZ Farah,Egypt,1 Sep 1992,Table Tennis,28,Female,NA,NA,,,,,Women's Team,9,NA
ABDELAZIZ Feryal,Egypt,16 Feb 1999,Karate,22,Female,NA,NA,,,CAIRO,Egypt,Women's Kumite +61kg,1,Gold
ABDELMAWGOUD Mohamed,Egypt,10 Jun 1994,Judo,27,Male,NA,NA,,,,,Men -66 kg,17,NA
ABDELMOTTALEB Diaaeldin Kamal Gouda,Egypt,2 May 1993,Wrestling,28,Male,NA,NA,,,,,Men's Freestyle 125kg,10,NA
ABDELRAHMAN Ihab,Egypt,1 May 1989,Athletics,32,Male,NA,NA,,Egypt,EGYPT,,Men's Javelin Throw,,NA
ABDELSALAM Mohamed,Egypt,1 Oct 1997,Football,23,Male,1.77,5'9'',,Egypt,,,Men,8,NA
ABDELSALAM Nour,Egypt,29 Mar 1993,Taekwondo,28,Female,NA,NA,,,,,Women -49kg,11,NA
ABDELWAHED Ahmed,Italy,26 May 1996,Athletics,25,Male,NA,NA,ROME,Italy,CAMERINO,Italy,Men's 3000m Steeplechase,14,NA
ABDI Bashir,Belgium,10 Feb 1989,Athletics,32,Male,NA,NA,MOGADISHU,Somalia,GHENT,Belgium,Men's Marathon,3,Bronze
ABDIRAHMAN Abdi,United States of America,1 Jan 1977,Athletics,44,Male,NA,NA,MOGADISHU,Somalia,"TUCSON, AZ",United States of America,Men's Marathon,41,NA
ABDUL HADI Farah Ann,Malaysia,3 May 1994,Artistic Gymnastics,27,Female,1.65,5'4'',SUBANG JAYA,Malaysia,SUBANG JAYA,Malaysia,Women's All-Around,,NA
ABDUL HADI Farah Ann,Malaysia,3 May 1994,Artistic Gymnastics,27,Female,1.65,5'4'',SUBANG JAYA,Malaysia,SUBANG JAYA,Malaysia,Women's Vault,,NA
ABDUL HADI Farah Ann,Malaysia,3 May 1994,Artistic Gymnastics,27,Female,1.65,5'4'',SUBANG JAYA,Malaysia,SUBANG JAYA,Malaysia,Women's Uneven Bars,,NA
ABDUL HADI Farah Ann,Malaysia,3 May 1994,Artistic Gymnastics,27,Female,1.65,5'4'',SUBANG JAYA,Malaysia,SUBANG JAYA,Malaysia,Women's Balance Beam,,NA
ABDUL HADI Farah Ann,Malaysia,3 May 1994,Artistic Gymnastics,27,Female,1.65,5'4'',SUBANG JAYA,Malaysia,SUBANG JAYA,Malaysia,Women's Floor Exercise,,NA
ABDUL RAHMAN Kiria Tikanah,Singapore,25 Jun 2000,Fencing,21,Female,NA,NA,,,,,Women's Épée Individual,32,NA
ABDUL RAZZAQ Fathimath Nabaaha,Maldives,13 Jun 1999,Badminton,22,Female,NA,NA,,,,,Women's Singles,15,NA
ABDULHAMID Saud,Saudi Arabia,18 Jul 1999,Football,22,Male,1.71,5'7'',,Saudi Arabia,,,Men,15,NA
